GS Paper,Title,Content
GS1,1663 in India,"Events in the year 1663 in India.

Events
January 23 – The Treaty of Ghilajharighat is signed in India between representatives of the Mughal Empire and the independent Ahom Kingdom (in what is now the Assam state), with the Mughals ending their occupation of the Ahom capital of Garhgaon, in return for payment by Ahom in silver and gold for costs of the occupation, and King Sutamla of Ahom sending one of his daughters to be part of the harem of Mughal Emperor Aurangzeb.
March 4 – The Prince Edward Islands in the sub-antarctic Indian Ocean are discovered by Barent Barentszoon Lam, of the Dutch ship Maerseveen, and named Dina (Prince Edward) and Maerseveen (Marion).
Rise of the Travancore Kingdom - The first maharaja of the Travancore Kingdom, His Highness Rama Varma I was sworned in.

Births
Deaths
Bihari Lal, poet (b.1595)."
GS1,Leakgate (India),"Leakgate (also Filegate) was a 2015 scandal in India involving the theft and sale of official documents. According to the Central Bureau of Investigation, officials, including those with the Department of Economic Affairs and the Department of Investment and Public Asset Management allegedly stole documents related to foreign investments and sold them to a firm based in Mumbai, who passed the documents on to a number of private companies, including DLF Limitless Developers, HDFC Bank, Glenmark Pharmaceuticals, Infraline Energy Modril India, Prime Living, NovaLead Pharma, IndusInd Bank and Kakardi British Realty.
The ensuing investigation resulted in at least 20 arrests, and at least seven others being detained for questioning.
The documents included a classified report on the national gas grid; a letter from Principal Secretary to the Prime Minister of India, Nripendra Misra, to the Ministry of Petroleum and Natural Gas; drafts of global energy cooperation pacts between India and other countries including Sri Lanka; and sectoral budget proposals.
According to the Times of India, four individuals entered Shastri Bhawan, a government building in New Delhi after hours using forged identification and duplicate keys, disabled security cameras, and stole or photocopied documents which they then sold.

See also
List of scandals with ""-gate"" suffix

Notes


== References =="
GS1,Hashim Ali Khan,"Mir Hashim Ali Khan (Arabic: هاشم على خاں; honorific titles: Nawab Hashim Nawaz Jang Bahadur, Colonel, Sardar Bahadur) was commandant of the 2nd Lancers, Hyderabad Imperial Service Troops.

Biography
Mir Hashim Ali Khan represented the Hyderabad Imperial Lancers at Queen Victoria's Diamond Jubilee. On reaching Hyderabad-deccan with the help of other Commandants, he founded the 2nd Nizams own (N.O.) Hyderabad Imperial Service (H.I.S.) Lancers Troops. The Regiment was first raised in 1893 at Golkonda (HYD-Deccan) by the late general Sir Afsar-ul-mulk Bahadur, the then commander of the Nizams regular forces.
The regiment was designated as 2nd lancers Hyderabad Imperial Service Troops and was organised in accordance with the establishment of the Indian Cav. Regt. In April 1923, the regiment was again re-organised and re-designated by Col. Hashim Nawaz Jung. O.B.I. Col. Sardar Bahadur, as 2nd Hyderabad Imperial Service Lancers (Nizams own) and soon made its Commandant after getting retired from the 2nd lancers. He served as commanding officer of the Nizam Mahbub Force. The Hyderabad Imperial Services Troops wasn't an IST unit, but a part of the Indian army. Navy & Army Illustrated published an article about the unit, featuring Mir Hashim Ali Khan.

Family
Mir Hashim Ali Khan was married to Zakia Begum. The couple had four sons and eight daughters. The sons included Nawab Alam yar jung Bahadur, Chief Justice of Hyderabad and Law Minister, Nawab Talib Ali Khan, Accountant General of Hyderabad, Subhan Ali Khan, & Iqbal ali khan. The daughters included Mehdi Begum w/o Dr Syed Mehdi Ali (Mansabdar), Tahera Begum, Syeda Begum, Masooma Begum, Shujaath Begum, Abbasi Begum, Khairunissa Begum, and Taiba Begum.

Honors and titles
Mir Hashim Ali Khan received the following honours and distinctions from the British Government and the Nizam of Hyderabad.

Nawab
Nawaz Jung
Bahadur
Order of British India (O.B.I.)
Colonel
Sardar Bahadur (heroic leader)
Commandant
Mansabdar
Jagirdar

Gall"
GS1,Sanketam,"Sanketam was the name given to temple corporations in medieval Kerala. Land grants given to Brahmins were organized into sanketams, which formed semi-autonomous, self governing bodies. According to M.T. Narayanan, the sanketam was the primary institution through which the Nambudiri Brahmins exerted their influence on the politics of Kerala.
They were the predominant landowning agency of the feudal age, exercising revenue and judicial power. In the region of the sanketam, all temporal authorities were exercised by the temple officials and the local chieftains wielded no control. M.T. Narayanan classifies sanketams as grama sanketams, which formed the original 32 Brahmin settlements of Kerala and kshetra sanketams, which referred to fresh settlements.
Shneider and Gough distinguish four types of temples among the upper castes of Kerala. The first of these were the temples belonging to sanketams, whose estates were managed by Nambudiris. These temples were dedicated to pan-India Hindu deities like Siva or Vishnu. Animal sacrifices were forbidden within the temples of the sanketams and they were restricted to the Brahmin population of the village. The priests of these temples were often lower ranking Nambudiri priests. A few temple-servant castes also used to live in these sanketams.  Second were the private temples owned by Nambudiris which were smaller versions of the first. The third and fourth kinds of temples belonged to royal matrilineal lineages and the ""common"" Nair families and these were often dedicated to Bhagavathi or Bhadrakali.

Governance
The governance of the temple-state was carried out by the body of the yogam, which consisted of the heads (eldest male) of all Brahmin households belonging to the designated region. These members (yogakkar) elected a committee of ooralans (heads of certain Nambudiri households) and a chief, who exercised supreme authority within the confines of the sanketam. The chief (sankethaadhikari) who was usually a kshatriya was ap"
GS1,Devlia,"Devlia is a village and former non-salute Rajput princely state on Saurashtra peninsula in Gujarat, western India.

History
The petty princely state, in Jhalawar prant, was ruled by Jhala Rajput Chieftains.
In 1901 it comprised its seat town Devlia and one other village, with a combined population of 494, yielding 2,240 Rupees state revenue (1903-4, all from land), paying 523 tribute, to the British and to Junagarh State.

References
External links
Imperial Gazetteer, on DSAL.UChicago.edu - Kathiawar"
GS1,Garrauli State,"Garrouli; Hindi Name गर्रौली) is a fort and former princely state in present Madhya Pradesh, central India.

History
Garrauli became a princely state in 1812, when a sanad (feudal deed) from the British Government was granted to its first Diwan Bahadur, Gopal Singh, second son of Thakur Bhagwant Singh of Mahewa.
The state maintained a military force of 2 cavalry, 56 infantry and 4 guns. The founder and his succeeding descendants bore the style Diwan Sahib or Diwan Bahadur.
Garrauli was a non-salute state, in the charge of the colonial Bundelkhand Agency. It had a population of 5,231 in 1901, a revenue of 25,000 Rupees and surface of 101 km2.
It ceased to exist de facto when the states were seized in 1947, and formally on 3 March 1948 by accession to India. The privy purse was fixed at 34,000 Rupees.

Rulers
Gopal Singh, 1st Diwan Sahib of Garrauli 1812 - death 1830.
Parichhat Singh, son of the above, 2nd Diwan Sahib of Garrauli 1831, created Diwan Bahadur 17.10.1844, died 1884
Chandrabhan Singh, born 2 April 1883, son of the son of the above, 3rd Diwan Sahib of Garrauli 19 October 1884; Honorable Captain of Chhatrasal Infantry (Panna) 1925; died 20 November 1946
Raghuraj Singh, son of the above, born 16 January 1910, 4th Diwan Sahib of Garrauli 1946
Raja RAVINDRA SINGH, 5th Diwan Sahib of Garrauli since 17th September 1964, born 19th February 1957.

External links
Indian Princely States on www.uq.net.au, as archived on web.archive.org, with genealogy"
GS1,List of Mughal travelers,"This is a list of the travellers who left accounts on Mughal Empire.

Antonio Monserrate  (1536-1600, from Spain)
François Bernier (1625-1688, from France)
Jean-Baptiste Tavernier (1605-1689, from France)
Peter Mundy (1600-1667, from England)
Seydi Ali Reis (1498 – 1563, from Turkey)
Niccolao Manucci (1638-1717, from Venice)


== References =="
GS1,Paulo da Gama,"Paulo da Gama (European Portuguese pronunciation: [ˈpawlu ðɐ ˈɣɐmɐ]; c. 1465 – June or July 1499) was a Portuguese explorer, son of Estêvão da Gama and Isabel Sodré, and the older brother of Vasco da Gama.
He was a member of the first voyage from Europe to India, led by his brother, commanding the ship São Rafael, which would be later scuttled in the return trip. Paulo da Gama joined  the São Gabriel. His brother brought him to the Terceira Island of the Azores and stayed with him until his death, before he returned to Portugal in September 1499. Paulo da Gama is buried in the monastery of São Francisco in the city of Angra do Heroísmo.


== References =="
GS1,Shah Quli Khan (governor),"Shah Quli Khan was a 16th-century Mughal official, nawab (governor), and art patron. Shah Quli served as the Mughal nawab of Narnaul, India, and notably constructed a number of historic sites in the state.

Biography
Shah Quli Khan was a member of the governing class of the Mughal Empire in the 16th century. As a young man, Shah Quli was a protegee of Bairam Khan, a powerful noble who served as the regent of the Mughal Empire during the early reign of Akbar the Great. Quli's connection to Bairam Khan allowed him to curry an extensive amount of favor with the Mughal court.

Military career
In the 1550s, a series of wars broke out between the Mughals and the Sur Empire. Shah Quli Khan was deployed with the Mughal army during the war, and distinguished himself during the conflicts. During the pivotal Second Battle of Panipat in 1556, Shah Quli fought against and wounded King Hemu.  The battle was a decisive victory for the Mughal empire, and Emperor Akbar commended Shah Quli for his role in the victory, showering him with wealth, titles, and land.

Governor of Narnaul
In the 1570s, Shah Quli Khan was named as the Mughal governor of Narnaul. As governor, Shah Quli began a massive construction program across the territory. His first major project was to construct a tomb in his own honor. The tomb, which has been cited as an excellent example of Mughal architectural style, was built between 1774 and 1775. The tomb featured a planned garden, and was part of Shah Quli's gubernatorial estate.
Fifteen years after building his tomb, Shah Quli Khan began constructing a palace for himself. This building would become known as the Jal Mahal. The palace was built in the middle of an artificial lake, and is adorned with art and carvings. One such carving was done in such a way as to praise Shah Quli Khan's victory over Hemi some forty years earlier.
Upon his death, Shah Quli Khan (who was known for his generosity) donated much of his wealth to his courtiers; it has also been posited"
GS1,List of saints of India,"The Catholic Church recognizes certain deceased Catholics as saints, beati, venerabili, and servants of God. Some such people have been born, died, or lived in India.

Apostles
Saints
Early times
Modern times
Beatified
Group of martyrs
The Four Martyrs of Thane (d. 1321 in Thane, India), Roman Catholic
Bl. Thomas of Tolentino (Tommaso di Tolentino) (ca. 1255–1321), Professed Priest of the Franciscan Friars Minor (Italy)
James of Padua (Giacomo di Padua) (d. 1321), Professed Priest of the Franciscan Friars Minor (Italy)
Peter of Siena (Pietro di Siena) (d. 1321), Professed Religious of the Franciscan Friars Minor (Italy)
Demetrius of Tiflis (Demetrio da Tifliz) (d. 1321), Layperson of the Diocese of Quilon (Georgia-Armenia)
Feast: 9 April

Venerables
Servants of God
This section includes those who have been formally declared as a Servant of God by a bishop, or listed as a Servant of God by a conference of bishops.

Candidates for sainthood
This section includes those for whom a cause of sainthood or a diocesan investigation is in progress, but the person has not been declared as a Servant of God, although the term 'Servant of God' is sometimes used for such persons.

Others
This section includes persons who are regarded to have led holy and edifying lives, but for whom there is no cause or formal investigation in progress.

See also
References
External links
""Hagiography Circle""
""Saints and Blesseds of India"". GCatholic.org."
GS1,Bakhar,"Bakhar is a form of historical narrative written in Marathi prose. Bakhars are one of the earliest genres of medieval Marathi literature. More than 200 bakhars were written in the seventeenth to nineteenth centuries, the most important of them chronicling the deeds of the Maratha ruler Shivaji. Bakhars are considered valuable resources depicting the Maratha view of history .

Etymology
Most scholars believe that the word bakhar is a metathesis of the Arabic-origin word khabar (""information""). S. N. Joshi argues that the word is derived from the Persian word khair or bakhair (""all is well"", the end salutation in a letter), since it appears at the end of most texts. Bapuji Sankpal argued that the word is derived from the Sanskrit-origin word akhyayika (""story"") or it could be bhyaakh ( bhiyakhya).

Style
The principal characteristics of bakhars are that they were written in prose, had a forceful style of writing, were of political historical nature which appealed to Maratha patriotism, were often commissioned by a patron, displayed an acceptance of tradition and also a belief in the supernatural. Early bakhars were sparsely written and contained a number of words of Persian derivation, later works tended to be voluminous and contained Sanskritised prose.

History
The earliest dates associated with a bakhar are 1448 or 1455, by different authors, being considered as the year that the prose part of ""Mahikavatichi Bakhar"", comprising the second and third chapters, was written by Keshavacharya. The bakhar, which is the compilation of three authors of the 15th and 16th centuries - Bhagwan, Datta and Keshavacharya - is significant as the earliest attempt at uniting the Marathi-speaking populace against oppressive Bahmani rule.
There are around 200 known bakhars, fifty or so of which are considered to be notable, while some others have not been published at all. All the bakhars except for the early works, such as Sabhasad Bakhar, 91 Kalmi Bakhar and the Ajnyapatra Bakhar bes"
GS1,Ceded Districts,"Ceded Districts is the name of an area in the Deccan, India that was 'ceded' to the British East India Company by the Nizam in 1800. The name was in use during the whole period of the British Raj, even though the denomination had no official weight for legal or administrative purposes. The area largely corresponds to the modern region of Rayalaseema.

History
Following the Treaty of Seringapatam the Tippu Sultan accepted to give his northern territory to the Nizam of Hyderabad in 1792 AD.
In 1796 AD, the then Nizam Asaf Jah II, harassed by the Marathas and Tipu Sultan, opted to get British military protection under Lord Wellesley's doctrine of Subsidiary Alliance. Now, as a part of this agreement, the Nizam ceded a large portion of the acquired territory to the British, to be added to the Madras Presidency. This area was also known as the Ceded Districts, a term still used for the areas, and included the present day districts of Anantapuram, Kadapa (Cuddapah), much of Karnoolu (Kurnool), Bellary, and parts of Tumkur (Pavagada taluk).
After the defeat and death of Tipu Sultan in the Fourth Anglo-Mysore War at Battle of Srirangapattana, the Mysooru (Mysore) territories (Map) were divided up between the Wodeyars, the Nizam and the British East India Company.


== References =="
GS1,H. E. M. James,"Sir Henry Evan Murchison James  (20 January 1846 – 20 August 1923) was a British civil servant in the Indian Civil Service from 1865 to 1900.
He was the Commissioner in Sind from 1891 to 1900.

Official duties
He formally opened Dayaram Jethmal Sind College on 15 October 1893 in Karachi.
After stepping down as commissioner, he was knighted as a knight commander of the Order of the Indian Empirein the 1901 New Year Honours List.

Travel to China
In 1886–1887, James used a two-year leave to travel to China. Together with two younger Britons, the officer Francis Younghusband and the diplomat Harry English Fulford, he explored Manchuria, travelling through the frontier areas of Chinese settlement in the region and to the Changbai Mountains. He published his travel notes, and a solid dose of background information, in a book, The Long White Mountain, or, A journey in Manchuria.... Over a century later, the factual material contained in a work still served as a major source for the historians of the region.

Named after
The town of Jamesabad in mirpurkhas District of Sind was named after him.

Works
H. E. M. James (1888). The Long White Mountain or A Journey in Manchuria. Longmans, Green, and Co.

References
External links

Portraits of H. E. M. James at the National Portrait Gallery, London"
GS1,Indian Council of Historical Research,"The Indian Council of Historical Research (ICHR) is a captive body of the Ministry of Education, Government of India established by an Administrative Order. The body has provided financial assistance to historians and scholars through fellowships, grants, and symposia.
The ICHR receives grants-in-aid from the Department of Higher Education, grants-in-aid from various Indian states, private donations, and the proceeds of revenues from the sale of publications of the ICHR. The ICHR is based in Delhi, with regional centres in Pune (Maharashtra), Bengaluru (Karnataka), and Guwahati (Assam).
It was established on 27 March 1972.
Its first chairman was the historian Ram Sharan Sharma. Historians who have served as members or functionaries of the ICHR include Irfan Habib, Tapan Raychaudhuri, and Barun De.

Objectives
The objectives of the ICHR, as enunciated in the initial pamphlet published by the Department of Education, Government of India in 1972, are as under:

to bring historians together and provide a forum for the exchange of views between them;
to give a national direction to objective and scientific writing of history and to have rational presentation and interpretation of history;
to promote, accelerate and coordinate research in history with special emphasis on areas that have not received adequate attention so far;
to promote and coordinate a balanced distribution of research effort over different areas; and
to elicit support and recognition for historical research from all concerned and ensure the necessary dissemination and use of results.

Funding, expenses and salaries
ICHR is funded by grants-in-aid received from the Department of Higher Education, Ministry of Education . It also receives funds from the various state governments of India and from other Ministries of the government of India.

Organization
The ICHR is headed by an Honorary Chairman. The Member Secretary functions as the Secretary of the Governing Council during its General Body and special m"
GS1,Kanmer,"Kanmer, locally known as Bakar Kot, is an archaeological site belonging to Indus Valley civilization, located in Rapar Taluk, Kutch District, Gujarat, India.

Excavation
Indo-Japanese joint excavation at Kanmer was undertaken during 2006 by Institute of Rajasthan Studies, RIHN, JRN Rajasthan Vidyapeeth, Archeology Department, Gujarat and Japanese team.

Architecture
The site was strongly fortified despite being small, perhaps because it may have been located on trade route between Sindh and Saurashtra.

Findings
Rich ceramic assemblage, representing the Mature Harappan culture was found at this site. Three clay seals with central holes, making them pendants, with Indus scripts were found. A large number of bead-making goods — 150 stone beads and roughouts, 160 drill bits, 433 faience beads and 20,000 steatite beads — were found here, indicating the site's importance as an industrial unit. Agate quarries were also located at a distance of 20 kilometres (12 mi) from the site.

Importance
The figures appearing on clay seals and their similarity with those of Mohenjo-daro indicate Kanmer's association with bigger trade centres like Harappa and Mohenjo-daro.

References
Further reading
KHARAKWAL, J.S., Y.S. RAWAT & T. OSADA.(2008) Preliminary observations on the excavation at Kanmer, Kachchh, India, in T. Osada & A. Uesugi (ed.) Linguistics, Archaeology and the Human past (Research Institute for Humanity and Nature, Occasional Paper 5): 5-24. Kyoto: Research Institute for Humanity and Nature."
